koryakov_bd_id,lang_1_K,eng_vil_name,rus_vil_name,rus_vil_name_mdg,census_1885,census_1895,census_1926,census_2010,Lat,Lon,lang_1_S,elevation
509,Tindi,,Обатль,Обатль,,,48,,,,,
511,Tindi,Gunduchi,Гундучи,Гундучи,,,102,,42424818,4615836,Tindi,171997
513,Tindi,Sanukh,Санух,Санух,,,47,23,4247054,4613446,Tindi,180566
515,Tindi,Tenla,Тенла,Тенла,,,82,65,42465771,46128629,Tindi,163941
517,Tindi,Tissi-Akhitli,Тисси-Ахитли,Тисси-Ахитли,,,56,446,42501506,46103923,Tindi,100221
519,Tindi,Tissi,Тисси,Тисси,204,225,331,576,4248917,4614395,Tindi,167444
521,Tindi,,Халаки,Халаки,,,27,,,,,
523,Tindi,Khalikh,Халих,Халих,,,32,48,4248467,4609121,Tindi,108878
525,Tindi,,Хилачи,Хилачи,,,11,,,,,
527,Tindi,,коч. Ханаси,коч. Ханаси,,,32,,,,,
529,Tindi,,Цератли,Цератли,,,50,,,,,
531,Tindi,,Элла,Элла,,,41,,,,,
533,Tindi,,Эмимигич,Эмимигич,,,53,,,,,
535,Bagvalal,Tlibisho,Тлибишо,Тлибишо,287,296,250,939,4256054,4630101,Bagvalal,166769
537,Bagvalal,Tlisi,Тлиси,Тлиси,99,97,149,210,4256209,4627428,Bagvalal,197658
539,Bagvalal,Tlondoda,Тлондода,Тлондода,532,485,559,466,425247,461989,Bagvalal,194662
541,Avar,Tlokh,Тлох,Тлох,1078,1383,945,2741,426492,464578,Avar,105996
543,Akhvakh,Tlyanub,Тлянуб,Тлянуб,464,594,494,229,4243568,4645745,Akhvakh,164593
545,Avar,,Тлярата,Тлярата,318,343,318,582,,,,
547,Karata,,Тукита,Тукита,584,643,657,765,,,,
549,Xvarshi,Khvarshi,Хварши,Хварши,538,525,281,335,42353471,46107859,Xvarshi,204416
551,Xvarshi,Santlada,Сантлада,Сантлада,180,209,148,109,4238431,4607505,Xvarshi,174273
553,Xvarshi,,Хонох,Хонох,,,65,581,,,,
555,Avar,Kheleturi,Хелетури,Хелетури,410,445,580,721,42612495,46225441,Avar,144951
557,Bagvalal,Khushtada,Хуштада,Хуштада,739,664,813,842,42517389,46166126,Bagvalal,166520
559,Akhvakh,Tsekob,Цекоб,Цекоб,481,536,493,143,42422785,46450219,Akhvakh,161307
561,Avar,Tsilitl',Цилитль,Цилитль,466,509,521,520,428125,464156,Avar,190413
563,Avar,Tsoloda,Цолода,Цолода,409,430,577,535,4263827,4636626,Avar,215797
565,Andi,Chanko,Чанко,Чанко,264,351,116,485,42717936,46246417,Andi,160362
567,Andi,,Анхо,Анхо,,,28,37,,,,
569,Andi,,Камилю,Камилю,,,8,,,,,
571,Andi,,Митларота,Митларота,,,54,,,,,
573,Andi,Khando,Хандо,Хандо,,,18,35,4272694,4623361,Andi,147268
575,Andi,,Шувуральда,Шувуральда,,,42,,,,,
577,Avar,Chirkata,Чирката,Чирката,642,639,819,1923,42783992,46716609,Avar,42257
579,Avar,Shabdukh,Шабдух,Шабдух,228,218,224,145,4275612,4642139,Avar,191483
581,Avar,Tsundi,Цунди,Цунди,210,229,194,368,42740996,46436577,Avar,173539
583,Avar,Shodroda (Shadroda),Шодрода,Шодрода,453,436,572,807,42678426,4612155,Avar,120569
657,Avar,Aymaki,Аймаки,Аймаки,663,748,884,2342,425342,471383,Avar,128249
659,Avar,Arkas,Аркас,Аркас,140,146,268,317,4265194,4713833,Avar,128119
661,Avar,,Хамхартала,Хамхартала,,,36,,,,,
663,Avar,,ур.Кангалы,ур.Кангалы,309,299,335,,,,,
665,Avar,Akhkent,Ахкент,Ахкент,301,330,394,1248,4257353,4718488,Avar,154500
667,Kumyk,Gelli,Гели,Гели,2312,2390,1527,2796,427267,474014,Kumyk,44904
669,Kumyk,Adanak,Аданак,Аданак,,,19,1464,427522,474586,Kumyk,29705
